,id,neighbourhood_cleansed
817,4636487,Simancas
818,4640885,Universidad
819,4649686,Trafalgar
820,4652573,Trafalgar
821,4655244,Cortes
822,4656142,Delicias
823,4659214,Delicias
824,4659571,Embajadores
825,4664979,Lucero
826,4675111,Embajadores
827,4675684,Universidad
828,4677274,Universidad
829,4677276,Universidad
830,4677743,Universidad
831,4679716,Goya
832,4682678,Valdefuentes
833,4683787,Embajadores
834,4684786,Canillas
835,4687759,Sol
836,4693155,Cuatro Caminos
837,4703720,Embajadores
838,4708827,Chopera
839,4711892,Palacio
840,4714001,Ibiza
841,4718091,Arapiles
842,4718699,Universidad
843,4722533,Palacio
844,4723540,Universidad
845,4728228,Bellas Vistas
846,4728260,Simancas
847,4754971,Pacífico
848,4755562,Embajadores
849,4767419,Ciudad Jardín
850,4772019,Sol
851,4780178,Aluche
852,4789460,Embajadores
853,4798571,Recoletos
854,4799714,San Juan Bautista
855,4815680,Prosperidad
856,4818802,Almenara
857,4819958,Palos de Moguer
858,4854921,Palacio
859,4857495,Lucero
860,4879291,Abrantes
861,4890957,Prosperidad
862,4891262,Cortes
863,4905237,Pacífico
864,4906204,Guindalera
865,4912783,Embajadores
866,4936409,Niño Jesús
867,4945181,Niño Jesús
868,4947004,Sol
869,4949149,Justicia
870,4952788,Palacio
871,4963162,Piovera
872,4967324,Embajadores
873,4969560,Gaztambide
874,4973451,Embajadores
875,4994724,Cuatro Caminos
876,5009543,Universidad
877,5012393,Embajadores
878,5060359,Embajadores
879,5062060,Embajadores
880,5063329,Delicias
881,5063931,Sol
882,5072820,Chopera
883,5097623,Palos de Moguer
884,5105110,Bellas Vistas
885,5109767,Embajadores
886,5111331,Sol
887,5129219,Sol
888,5155124,Palacio
889,5155333,Ibiza
890,5159286,Justicia
891,5170938,Cortes
892,5177584,Sol
893,5181841,Castillejos
894,5192121,San Diego
895,5197442,Justicia
896,5200212,Cortes
897,5206353,Embajadores
898,5210987,Hispanoamérica
899,5215853,Justicia
900,5264948,Embajadores
901,5264999,Embajadores
902,5278909,Embajadores
903,5278933,Fontarrón
904,5285533,Palacio
905,5292745,Justicia
906,5310107,Cortes
907,5312932,Embajadores
908,5313039,Embajadores
909,5313142,Embajadores
910,5313221,Embajadores
911,5313252,Embajadores
912,5327846,Guindalera
913,5330790,Universidad
914,5334527,Embajadores
915,5336454,Acacias
916,5343327,Valdezarza
917,5344630,Justicia
918,5353419,Embajadores
919,5361601,Sol
920,5371540,Palacio
921,5372333,Cuatro Caminos
922,5373240,Berruguete
923,5379424,Palacio
924,5383331,Marroquina
925,5398163,San Isidro
926,5420660,Palacio
927,5422524,Rios Rosas
928,5429605,Embajadores
929,5431622,Nueva España
930,5437526,San Pascual
931,5439451,Ciudad Universitaria
932,5448860,San Diego
933,5458016,Palacio
934,5466021,Argüelles
935,5479540,Embajadores
936,5484923,Palos de Moguer
937,5486086,Embajadores
938,5509143,Universidad
939,5511428,Embajadores
940,5529302,Embajadores
941,5541728,Acacias
942,5544738,Universidad
943,5552409,Universidad
944,5554860,Canillas
945,5563493,Valdezarza
946,5564929,Embajadores
947,5567395,Recoletos
948,5578172,Berruguete
949,5583981,Hispanoamérica
950,5584630,Cuatro Caminos
951,5602310,Arapiles
952,5611639,Embajadores
953,5618292,Argüelles
954,5630090,Palacio
955,5630901,Universidad
