,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate
2543,14383186,Rental unit in Madrid · ★4.90 · 1 bedroom · 4 beds · 1 bath,17979672,Manuel,Hortaleza,Palomas,40.45481,-3.61386,Entire home/apt,101,2,109,2023-06-08,1.63,2,49,60,0.8657534246575342
2545,15019684,Rental unit in Madrid · ★4.79 · 1 bedroom · 2 beds · 1 bath,24941970,Iñigo,Centro,Justicia,40.42194,-3.6998,Entire home/apt,94,7,321,2023-05-26,4.01,1,244,56,0.3315068493150685
2548,15036212,Rental unit in Madrid · ★4.67 · 1 bedroom · 2 beds · 1 bath,7131867,Natacha,Centro,Embajadores,40.40762,-3.70172,Entire home/apt,64,2,289,2023-05-27,3.53,1,142,62,0.6109589041095891
2550,15042485,Rental unit in Madrid · ★4.79 · 3 bedrooms · 4 beds · 2 baths,168241843,Marta Y Arturo,Centro,Cortes,40.41119,-3.69641,Entire home/apt,246,1,281,2023-06-09,3.45,20,320,43,0.1232876712328767
2554,15061273,Condo in Madrid · ★4.75 · 2 bedrooms · 2 beds · 1 bath,95225887,Ana,Puente de Vallecas,San Diego,40.39743,-3.66976,Entire home/apt,139,2,82,2023-05-28,1.0,1,360,7,0.0136986301369863
2555,15061803,Rental unit in Madrid · ★4.77 · 1 bedroom · 2 beds · 1 shared bath,2169208,Hebe,Hortaleza,Canillas,40.46313,-3.62476,Private room,18,2,121,2023-06-09,1.53,3,37,40,0.8986301369863013
2556,14704409,Rental unit in Madrid · ★4.60 · 1 bedroom · 2 beds · 1 bath,17855462,Maite,Retiro,Pacífico,40.40375,-3.68068,Entire home/apt,81,6,155,2023-06-05,1.89,1,314,25,0.13972602739726028
2557,15068377,Rental unit in Madrid · ★4.95 · 1 bedroom · 1 bed · 1 private bath,53138239,Virginia,Ciudad Lineal,Colina,40.45804,-3.65896,Private room,37,3,73,2023-03-30,0.9,2,161,2,0.5589041095890411
2559,14708647,"Rental unit in Madrid, Comunidad de Madrid, ES · ★4.67 · 3 bedrooms · 4 beds · 1 bath",39971222,Jacinto,Centro,Embajadores,40.4066,-3.70215,Entire home/apt,538,3,63,2023-01-20,0.77,1,64,3,0.8246575342465754
2560,14712529,Rental unit in Madrid · ★4.90 · 2 bedrooms · 3 beds · 1 bath,90647789,Victor & Yoli,Centro,Palacio,40.41914,-3.71052,Entire home/apt,156,3,287,2023-05-27,3.53,8,68,56,0.8136986301369863
2563,15094144,Rental unit in Madrid · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,78780938,Delfina,Usera,San Fermín,40.37277,-3.69306,Private room,35,3,45,2023-05-02,0.55,2,264,1,0.27671232876712326
2564,14730017,Condo in Madrid · ★4.71 · 1 bedroom · 2 beds · 1 bath,91717192,Antonio,San Blas - Canillejas,Rejas,40.44336,-3.5754,Entire home/apt,85,5,17,2023-05-03,0.21,2,363,4,0.005479452054794521
2567,15095901,Floor in Madrid · ★4.95 · 1 bedroom · 2 beds · 1 bath,5291754,Clara,Chamartín,Hispanoamérica,40.45655,-3.67755,Private room,56,2,60,2023-05-27,0.76,2,217,27,0.4054794520547945
2571,14751089,Rental unit in Madrid · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,14785920,Jose,Usera,San Fermín,40.37935,-3.6907,Private room,33,2,354,2023-05-21,4.85,3,43,72,0.8821917808219178
2573,14777687,Rental unit in Madrid · ★4.78 · 1 bedroom · 2 beds · 1 bath,134769765,Mari Carmen,Moncloa - Aravaca,Valdezarza,40.46049,-3.71046,Entire home/apt,53,4,64,2023-06-05,0.88,1,76,9,0.7917808219178082
2574,14806012,Floor in Madrid · ★4.97 · 1 bedroom · 2 beds · 2 shared baths,92507879,Isabel,Fuencarral - El Pardo,Valverde,40.49246,-3.68736,Private room,25,2,34,2023-05-26,0.43,1,224,16,0.3863013698630137
2575,15126500,Rental unit in Madrid · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,11515100,Mónica,Centro,Embajadores,40.40675,-3.70944,Entire home/apt,90,3,20,2023-05-29,0.25,1,177,4,0.5150684931506849
2576,15128601,Rental unit in Madrid · ★4.73 · 1 bedroom · 3 beds · 1 bath,54623373,Lara,Centro,Cortes,40.41853,-3.6971,Entire home/apt,95,4,55,2023-03-04,0.67,13,63,4,0.8273972602739726
2577,14819428,Rental unit in Madrid · ★4.75 · 3 bedrooms · 4 beds · 3 baths,125352528,Esperanza,Chamberí,Gaztambide,40.43609,-3.7167,Entire home/apt,213,2,151,2023-05-22,1.88,1,344,17,0.057534246575342465
2578,15130796,Rental unit in Madrid · ★4.86 · 3 bedrooms · 5 beds · 2 baths,50716384,Marc,Centro,Universidad,40.42376,-3.70311,Entire home/apt,279,3,173,2023-05-29,2.12,1,63,20,0.8273972602739726
2580,15141334,Rental unit in Madrid · ★4.49 · 1 bedroom · 2 beds · 1 bath,23205522,Juan,Centro,Embajadores,40.40806,-3.70334,Entire home/apt,74,3,251,2023-06-03,3.08,1,304,46,0.16712328767123288
2582,15143840,Rental unit in Madrid · ★4.71 · Studio · 2 beds · 1 bath,5239042,Maribel & Jose,Centro,Embajadores,40.41058,-3.70217,Entire home/apt,83,3,207,2023-05-22,2.57,20,352,39,0.03561643835616438
2584,15154657,Loft in Madrid · ★3.73 · 1 bedroom · 1 bed · 1 bath,6673480,Yolvania,Chamartín,Nueva España,40.45873,-3.67951,Entire home/apt,59,21,11,2023-02-17,0.27,5,55,5,0.8493150684931506
2586,14835141,Floor in Madrid · ★4.80 · 3 bedrooms · 4 beds · 2.5 baths,35604781,Cristina,Chamartín,Ciudad Jardín,40.45,-3.66864,Entire home/apt,150,30,17,2023-03-26,0.21,2,178,1,0.5123287671232877
2587,15156803,Rental unit in Madrid · ★4.87 · 2 bedrooms · 2 beds · 2 baths,94988412,Pepa,Hortaleza,Pinar del Rey,40.47931,-3.64503,Private room,50,2,30,2022-11-02,0.39,1,363,6,0.005479452054794521
2590,14850472,Rental unit in Madrid · ★4.86 · 3 bedrooms · 5 beds · 2 baths,2864064,Oscar Vanessa Mica Y Julia,Centro,Palacio,40.4081,-3.71203,Entire home/apt,209,1,262,2023-05-28,3.2,20,273,40,0.25205479452054796
2592,14854074,Rental unit in Madrid · ★4.69 · 3 bedrooms · 3 beds · 1 bath,92994648,Fernando,Centro,Cortes,40.41404,-3.69717,Entire home/apt,194,1,185,2023-05-30,2.25,1,290,19,0.2054794520547945
2594,15173717,Rental unit in Madrid · ★4.88 · 1 bedroom · 1 bed · 1 bath,2864064,Oscar Vanessa Mica Y Julia,Centro,Embajadores,40.40725,-3.70008,Entire home/apt,106,1,218,2023-05-28,2.72,20,160,37,0.5616438356164384
2595,14854217,Rental unit in Madrid · ★4.83 · 1 bedroom · 1 bed · 1 bath,34371900,Javier,Centro,Justicia,40.42248,-3.69816,Entire home/apt,140,5,29,2023-06-06,0.36,1,273,12,0.25205479452054796
2597,14856071,Rental unit in Madrid · ★4.69 · 2 bedrooms · 1 bed · 1 shared bath,24375266,Mark,Chamberí,Trafalgar,40.43508,-3.70174,Private room,39,2,14,2023-03-26,0.17,2,349,1,0.043835616438356165
2599,14862474,Rental unit in Madrid · ★4.73 · 2 bedrooms · 3 beds · 1 bath,82262913,Prado,Carabanchel,San Isidro,40.39473,-3.72741,Entire home/apt,72,2,209,2023-05-13,2.55,2,201,38,0.44931506849315067
2601,14863095,Rental unit in Madrid · ★4.66 · 1 bedroom · 2 beds · 1 bath,14626191,Andrea Y Daniel,Centro,Cortes,40.4142,-3.69907,Entire home/apt,110,1,264,2023-05-25,3.21,7,346,37,0.052054794520547946
2603,15197149,Rental unit in Madrid · ★4.54 · 3 bedrooms · 5 beds · 1 bath,96502620,Es Javier,Moncloa - Aravaca,Casa de Campo,40.4255,-3.7314,Entire home/apt,126,2,13,2023-03-12,0.22,6,245,4,0.3287671232876712
2605,14869725,Rental unit in Madrid · ★4.36 · 1 bedroom · 2 beds · 1 bath,19099150,Juan,Tetuán,Cuatro Caminos,40.44693,-3.70091,Entire home/apt,71,2,259,2023-06-03,3.15,9,318,77,0.12876712328767123
2606,15201755,Rental unit in Madrid · ★4.58 · 1 bedroom · 1 bed · 1.5 shared baths,42428313,Scarlet TY,Hortaleza,Apostol Santiago,40.47208,-3.66133,Private room,26,1,12,2023-06-03,3.4,1,33,12,0.9095890410958904
2610,15203351,Rental unit in Madrid · ★4.81 · 1 bedroom · 2 beds · 1 bath,12917441,Nikohl,Centro,Embajadores,40.40991,-3.69924,Entire home/apt,95,5,96,2023-06-05,1.19,1,171,34,0.5315068493150685
2611,14907961,Rental unit in Madrid · ★4.63 · 1 bedroom · 2 beds · 1 shared bath,93628020,Jennifer,Villaverde,Los Angeles,40.35392,-3.70456,Private room,27,2,48,2023-05-28,3.4,1,343,41,0.06027397260273973
2613,14909890,Rental unit in Madrid · ★4.87 · 2 bedrooms · 3 beds · 2.5 baths,9228673,Home At Homes,Salamanca,Recoletos,40.42916,-3.68475,Entire home/apt,368,5,45,2023-03-21,0.55,11,243,12,0.33424657534246577
2614,15206279,Rental unit in Madrid · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,44430986,Montse,Fuencarral - El Pardo,Valverde,40.51417,-3.67419,Private room,33,2,47,2023-03-12,0.58,1,274,8,0.2493150684931507
2618,15206536,Rental unit in Madrid · ★4.67 · 1 bedroom · 3 beds · 1 bath,88936948,Guille,Centro,Sol,40.41991,-3.70654,Entire home/apt,100,90,6,2023-02-04,0.08,3,310,1,0.1506849315068493
2619,15209435,Rental unit in Madrid · ★4.67 · 2 bedrooms · 4 beds · 1 bath,96502620,Es Javier,Latina,Lucero,40.40307,-3.75896,Entire home/apt,125,2,3,2022-10-07,0.31,6,269,3,0.26301369863013696
2620,14930772,Rental unit in Madrid · ★4.51 · 1 bedroom · 1 bed · 1 bath,91506664,Solfai,Centro,Palacio,40.417252,-3.709426,Entire home/apt,84,2,226,2023-05-08,2.78,16,225,61,0.3835616438356164
2621,14933969,Rental unit in Madrid · 1 bedroom · 2 beds · 1 bath,3880612,Eli,Salamanca,Castellana,40.43492,-3.68475,Entire home/apt,200,2,1,2023-05-12,1.0,1,76,1,0.7917808219178082
2622,15210164,Rental unit in Madrid · ★4.86 · 2 bedrooms · 2 beds · 1 bath,54821067,Sam,Usera,Zofío,40.38422,-3.71142,Entire home/apt,69,3,232,2023-06-05,2.85,1,268,34,0.26575342465753427
2623,15229880,Rental unit in Madrid · ★4.51 · 2 bedrooms · 2 beds · 1 bath,96804915,Gius,Centro,Cortes,40.41465,-3.70334,Entire home/apt,112,1,330,2023-05-19,4.06,23,12,95,0.9671232876712329
2624,14943319,Rental unit in Madrid · ★4.77 · 1 bedroom · 2 beds · 1 bath,16666103,Sergio,Centro,Sol,40.41505,-3.70711,Entire home/apt,156,3,336,2023-05-08,4.1,7,95,45,0.7397260273972602
2625,15230590,Rental unit in Madrid · ★4.54 · 2 bedrooms · 2 beds · 1 bath,96804915,Gius,Centro,Cortes,40.41424,-3.70154,Entire home/apt,121,1,299,2023-05-23,3.67,23,9,81,0.9753424657534246
2626,14957137,Rental unit in Madrid · ★4.70 · 2 bedrooms · 3 beds · 2 baths,74767650,Ignacio,Centro,Cortes,40.41812,-3.69471,Entire home/apt,282,1,170,2023-05-29,2.07,4,241,16,0.33972602739726027
2627,15231742,Rental unit in Madrid · ★4.86 · 2 bedrooms · 3 beds · 1 bath,83155660,Daniel,Chamberí,Trafalgar,40.43326,-3.70411,Entire home/apt,104,2,298,2023-05-29,3.67,1,245,56,0.3287671232876712
2629,14957501,Rental unit in Madrid · ★4.87 · Studio · 1 bed · 1 bath,3017315,Cristina,Centro,Palacio,40.42221,-3.71078,Entire home/apt,71,2,353,2023-06-07,4.34,5,18,74,0.9506849315068493
2631,15241162,Rental unit in Madrid · ★4.47 · 3 bedrooms · 5 beds · 2 baths,96502620,Es Javier,Usera,Orcasur,40.37869,-3.69876,Entire home/apt,119,2,20,2023-05-22,0.25,6,253,7,0.30684931506849317
2632,15241290,Rental unit in Madrid · ★4.50 · 2 bedrooms · 2 beds · 1 bath,96502620,Es Javier,Latina,Lucero,40.40276,-3.74719,Entire home/apt,90,2,13,2022-12-11,0.19,6,291,4,0.20273972602739726
2634,15243380,Rental unit in Madrid · ★4.72 · 1 bedroom · 1 bed · 1 bath,28038703,Luxury Rentals Madrid,Centro,Palacio,40.41471,-3.71167,Entire home/apt,163,2,107,2023-05-28,1.31,102,221,13,0.39452054794520547
2636,15243863,Rental unit in Madrid · ★4.78 · 2 bedrooms · 2 beds · 1 bath,31505020,Toñi,Centro,Embajadores,40.40829,-3.69627,Entire home/apt,64,5,28,2022-07-25,0.35,1,100,2,0.726027397260274
2637,14988853,Rental unit in Madrid · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,17320590,Fouad,Puente de Vallecas,Numancia,40.39878,-3.66842,Private room,22,10,29,2023-05-21,0.35,1,85,8,0.7671232876712328
2638,15247674,Rental unit in Madrid · ★4.82 · 1 bedroom · 1 bed · 1 bath,28786243,Emilio,Moncloa - Aravaca,Argüelles,40.42056,-3.71777,Entire home/apt,132,1,173,2023-05-07,2.13,68,328,17,0.10136986301369863
2639,14994623,Rental unit in Madrid · ★4.94 · 3 bedrooms · 4 beds · 1.5 baths,42149444,Helena,Centro,Embajadores,40.41243,-3.70164,Entire home/apt,289,30,126,2022-06-30,1.63,2,137,2,0.6246575342465753
2640,15248512,Floor in Madrid · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,67914605,Teresa,Chamberí,Vallehermoso,40.4463,-3.70588,Private room,45,1,48,2023-01-28,0.61,1,34,10,0.9068493150684932
2641,14997405,Rental unit in Madrid · ★4.95 · 3 bedrooms · 6 beds · 2 baths,94575991,Emma,Chamartín,Hispanoamérica,40.45348,-3.67028,Entire home/apt,129,7,64,2023-05-11,0.79,1,312,9,0.14520547945205478
2647,15004131,Rental unit in Madrid · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,2626919,Ian,Retiro,Ibiza,40.41741,-3.6747,Private room,40,7,76,2023-05-27,0.93,3,214,10,0.4136986301369863
2648,15291323,Rental unit in MADRID · ★4.43 · 1 bedroom · 2 beds · 1 bath,4277536,Andrea Y Daniel,Centro,Embajadores,40.41143,-3.70634,Entire home/apt,79,1,74,2023-05-20,0.91,2,329,22,0.09863013698630137
2649,15291983,Serviced apartment in Madrid · ★4.86 · 2 bedrooms · 3 beds,88853220,Jose Manuel,Centro,Universidad,40.42324,-3.7006,Hotel room,362,1,30,2023-04-17,0.37,5,173,1,0.5260273972602739
2650,15005208,Rental unit in Madrid · ★4.88 · 1 bedroom · 1 bed · 2 baths,12353738,Ana,Arganzuela,Delicias,40.39842,-3.69295,Private room,43,2,41,2022-06-26,0.51,1,164,1,0.5506849315068493
2651,15292541,Rental unit in Madrid · ★4.82 · 1 bedroom · 2 beds · 2 shared baths,64042950,Mar,Chamartín,Hispanoamérica,40.45487,-3.67942,Private room,77,1,22,2023-05-14,1.72,1,1,20,0.9972602739726028
2652,15292998,Rental unit in Madrid · ★4.74 · 1 bedroom · 2 beds · 1 bath,44107283,Gema,Arganzuela,Palos de Moguer,40.40557,-3.69802,Entire home/apt,90,3,168,2023-05-28,2.07,2,302,26,0.1726027397260274
2654,15293222,Rental unit in Madrid · ★4.67 · 1 bedroom · 2 beds · 1 bath,81886881,Juan,Centro,Universidad,40.42425,-3.70845,Entire home/apt,76,10,6,2022-09-30,0.07,3,318,1,0.12876712328767123
2655,15019446,Rental unit in Madrid · ★4.83 · 1 bedroom · 1 bed · 1 bath,9536395,Otilio,Arganzuela,Acacias,40.40055,-3.70107,Entire home/apt,143,4,47,2023-04-06,0.58,1,64,12,0.8246575342465754
2656,15308709,Rental unit in Madrid · ★4.05 · 1 bedroom · 3 beds · 1 bath,20609984,Jose,Centro,Embajadores,40.40969,-3.70842,Entire home/apt,82,2,92,2023-04-30,1.13,18,302,8,0.1726027397260274
2657,15465539,Rental unit in Madrid · ★4.80 · 1 bedroom · 2 beds · 1 private bath,99229317,Wendy,Carabanchel,Vista Alegre,40.379218796233694,-3.749362810753154,Private room,50,1,64,2023-05-21,5.96,2,279,64,0.2356164383561644
2661,15323656,Rental unit in Madrid · ★4.94 · 1 bedroom · 2 beds · 1 bath,2354308,Lluvia,Centro,Cortes,40.41584,-3.69956,Entire home/apt,166,2,357,2023-05-25,4.39,3,324,74,0.11232876712328767
2663,15325421,Rental unit in Madrid · ★4.63 · Studio · 2 beds · 1 bath,97662648,Fernando,Chamberí,Almagro,40.42593,-3.69101,Entire home/apt,107,3,163,2023-05-31,2.01,1,163,38,0.5534246575342465
2664,15471882,Home in Madrid · ★4.99 · 1 bedroom · 1 bed · 1 private bath,99303058,Patricia,Tetuán,Castillejos,40.462589263916016,-3.6902480125427246,Private room,75,2,78,2023-05-01,1.71,1,328,37,0.10136986301369863
2665,15326621,Rental unit in Madrid · ★4.39 · Studio · 1 bed · 1 bath,16177101,Jkas,Centro,Sol,40.41396,-3.70655,Entire home/apt,96,4,18,2023-05-29,0.23,6,256,4,0.29863013698630136
2667,15327978,casa particular in Madrid · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,18068302,Laura,Salamanca,Goya,40.42613,-3.67455,Private room,35,1,52,2023-06-06,4.17,1,28,50,0.9232876712328767
2668,15483686,Rental unit in madrid · ★4.50 · 1 bedroom · 1 bed · 1.5 baths,69094098,Carlos,Carabanchel,Buenavista,40.36345,-3.76444,Entire home/apt,125,3,9,2022-09-12,0.12,1,180,1,0.5068493150684932
2670,15484780,Rental unit in Madrid · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,90673639,Adrian,Centro,Palacio,40.41719,-3.70902,Private room,105,1,28,2022-10-30,0.4,1,365,4,0.0
2671,15343140,Rental unit in Madrid · ★4.38 · 4 bedrooms · 8 beds · 2 baths,52909083,Pedro,Arganzuela,Atocha,40.3983,-3.67735,Entire home/apt,121,6,21,2022-07-13,0.26,1,70,1,0.8082191780821918
2672,15347456,Rental unit in Madrid · ★4.35 · 1 bedroom · 1 bed · 1 shared bath,2321467,Diego Lázaro,Latina,Puerta del Angel,40.41089,-3.73507,Private room,18,2,170,2023-05-20,2.17,2,59,26,0.8383561643835616
2673,15487784,Rental unit in Madrid · ★4.74 · 3 bedrooms · 4 beds · 2 baths,15456024,Nahuel Rodrigo,Centro,Embajadores,40.40862,-3.69251,Entire home/apt,157,10,199,2023-06-03,2.5,1,149,23,0.5917808219178082
2674,15353038,Rental unit in Madrid · ★4.63 · 2 bedrooms · 3 beds · 1 bath,70165534,Francois,Centro,Sol,40.41584,-3.70467,Entire home/apt,90,1,253,2023-06-04,3.13,1,238,58,0.34794520547945207
2675,15488001,Rental unit in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 bath,85472776,Yamile,Centro,Justicia,40.42149,-3.7,Entire home/apt,108,3,9,2023-01-15,1.2,1,1,9,0.9972602739726028
2678,15369047,Rental unit in Madrid · ★4.74 · 1 bedroom · 2 beds · 1 bath,44107283,Gema,Arganzuela,Palos de Moguer,40.40608,-3.69753,Entire home/apt,90,3,184,2023-05-21,2.27,2,258,34,0.29315068493150687
2680,15491094,Rental unit in Madrid · ★4.67 · 2 bedrooms · 4 beds · 1 bath,34771708,Santiago,Villaverde,San Cristobal,40.34314,-3.68894,Entire home/apt,66,30,114,2023-05-26,1.41,1,159,1,0.5643835616438356
2681,15377196,Rental unit in Madrid · ★4.87 · 5 bedrooms · 11 beds · 2 baths,69600676,Maria Noelia,Centro,Palacio,40.41202163696289,-3.708142995834351,Entire home/apt,564,2,118,2023-05-30,1.46,9,150,29,0.589041095890411
2682,15391441,Rental unit in Madrid · ★4.67 · 1 bedroom · 2 beds · 1 bath,75147810,Pilar,Arganzuela,Palos de Moguer,40.40275,-3.69149,Entire home/apt,60,6,70,2023-06-01,0.97,1,230,21,0.3698630136986301
2684,15397031,Condo in Madrid · ★4.65 · 2 bedrooms · 3 beds · 2 baths,5144517,Fernando Swindontravelers,Salamanca,Castellana,40.43147,-3.68592,Entire home/apt,300,4,31,2023-04-29,0.38,9,101,4,0.7232876712328767
2687,15498951,Rental unit in Madrid · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,31622,Celina,Chamberí,Gaztambide,40.43268,-3.71659,Private room,35,4,73,2023-05-20,0.92,2,25,21,0.9315068493150684
2689,15402634,Rental unit in Madrid · ★4.70 · 1 bedroom · 1 bed · 1.5 shared baths,19900406,Tábata,Centro,Embajadores,40.40578,-3.70058,Private room,59,2,111,2023-05-22,1.37,1,12,22,0.9671232876712329
2693,15407681,Rental unit in Madrid · ★4.87 · 1 bedroom · 1 bed · 1 private bath,98642939,Maria,Tetuán,Cuatro Caminos,40.4525,-3.69659,Private room,45,3,202,2023-06-07,2.49,1,317,20,0.13150684931506848
2695,15415682,Rental unit in Madrid · ★4.68 · 1 bedroom · 1 bed · 1 bath,98772913,Cris,Centro,Palacio,40.41181,-3.70931,Entire home/apt,102,2,223,2023-05-14,2.76,1,270,62,0.2602739726027397
2697,15428073,Rental unit in Madrid · ★4.78 · 1 bedroom · 4 beds · 1 bath,32420211,Hellen,Centro,Universidad,40.421257,-3.706301,Entire home/apt,291,1,94,2022-12-31,1.18,4,293,1,0.19726027397260273
2698,15510494,Rental unit in Madrid · ★4.93 · 2 bedrooms · 2 beds · 1 bath,378073,Alvaro,Arganzuela,Palos de Moguer,40.406132,-3.693539,Entire home/apt,136,4,69,2023-06-05,0.88,3,115,40,0.684931506849315
2699,15429065,Condo in Madrid · ★4.91 · 1 bedroom · 1 bed · 1 bath,61295887,Alessandra,Centro,Embajadores,40.40963,-3.70739,Private room,35,2,111,2023-05-19,1.37,2,4,34,0.989041095890411
2700,15510597,Rental unit in Madrid · ★4.92 · 2 bedrooms · 3 beds · 1 bath,90647789,Victor & Yoli,Centro,Cortes,40.4165,-3.69679,Entire home/apt,178,3,333,2023-06-08,4.14,8,85,61,0.7671232876712328
2701,15435655,Rental unit in Madrid · ★4.88 · 2 bedrooms · 4 beds · 2 baths,60358230,Sol,Centro,Cortes,40.41469,-3.69683,Entire home/apt,140,2,102,2023-05-17,1.26,8,162,19,0.5561643835616439
2702,15514855,Loft in Madrid · ★4.54 · Studio · 1 bed · 1 bath,44904502,Silvia Dolores,Centro,Universidad,40.42054,-3.70158,Entire home/apt,55,2,170,2023-06-04,2.11,2,198,10,0.4575342465753425
2703,15442250,Rental unit in Madrid · ★4.64 · 1 bedroom · 2 beds · 1 bath,2105590,Reyes,Centro,Palacio,40.41255,-3.70897,Entire home/apt,188,1,58,2022-09-28,0.74,33,208,9,0.4301369863013699
2704,15532240,Rental unit in Madrid · ★4.60 · 2 bedrooms · 2 beds · 2 baths,99899485,Concepción,Tetuán,Cuatro Caminos,40.45069,-3.69775,Entire home/apt,100,10,11,2023-04-18,0.17,1,51,5,0.8602739726027397
2705,15442540,Rental unit in Madrid · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,61695112,María Dolores,Centro,Embajadores,40.41176,-3.6995,Entire home/apt,189,6,151,2023-03-26,2.08,2,343,20,0.06027397260273973
2706,15540959,Rental unit in Madrid · ★4.93 · 2 bedrooms · 2 beds · 2 baths,20331608,David,Centro,Universidad,40.42755,-3.7027,Entire home/apt,173,2,86,2023-06-04,1.09,1,298,33,0.18356164383561643
2707,15445749,Loft in Madrid · ★4.99 · 1 bedroom · 1 bed · 1 bath,72451667,Asun,Retiro,Adelfas,40.40329,-3.66978,Entire home/apt,94,2,67,2023-05-23,0.83,1,33,23,0.9095890410958904
2708,15445910,Rental unit in Madrid · ★4.97 · 2 bedrooms · 4 beds · 2.5 baths,61695112,María Dolores,Centro,Embajadores,40.41216,-3.6992,Entire home/apt,283,5,147,2023-06-09,2.03,2,169,22,0.536986301369863
2709,15541284,Rental unit in Madrid · ★4.83 · 1 bedroom · 2 beds · 1 bath,99991901,Arizonica Espacios Para Vivir,Centro,Universidad,40.42475,-3.70683,Entire home/apt,131,1,72,2022-09-17,0.89,8,254,2,0.3041095890410959
2711,15543238,Rental unit in Madrid · ★4.77 · 1 bedroom · 1 bed · 1 bath,28786243,Emilio,Centro,Sol,40.41504,-3.70712,Entire home/apt,191,1,374,2023-05-19,4.63,68,305,49,0.1643835616438356
2712,15545376,Rental unit in Madrid · ★4.91 · 2 bedrooms · 3 beds · 1 bath,100030664,Olga,Ciudad Lineal,Concepción,40.4356,-3.65748,Entire home/apt,80,2,188,2023-05-10,2.34,1,149,27,0.5917808219178082
2713,15899424,Rental unit in Madrid · ★4.68 · 3 bedrooms · 6 beds · 2 baths,103128901,Antonio,Tetuán,Bellas Vistas,40.45052,-3.70758,Entire home/apt,106,5,136,2023-05-03,1.72,1,85,6,0.7671232876712328
2715,15558149,Rental unit in Madrid · ★4.85 · 2 bedrooms · 3 beds · 1.5 baths,9696587,Gisela,Centro,Sol,40.4192,-3.70177,Entire home/apt,293,28,163,2023-05-23,2.03,2,181,12,0.5041095890410959
2719,15562768,Rental unit in Madrid · ★4.70 · 1 bedroom · 2 beds · 1 bath,1202660,Miguel Y Sergio,Centro,Cortes,40.4151,-3.70225,Entire home/apt,76,1,421,2023-06-05,5.34,1,266,84,0.27123287671232876
2722,15566594,Rental unit in Madrid · ★4.65 · 1 bedroom · 1 bed · 1 bath,67924537,Rubén,Centro,Palacio,40.40869,-3.71046,Entire home/apt,73,2,177,2023-05-26,2.2,2,94,38,0.7424657534246575
2724,15574744,Rental unit in Madrid · ★4.24 · 2 bedrooms · 4 beds · 2 baths,99018982,Juan Y Bea,Salamanca,Goya,40.4268,-3.6784,Entire home/apt,274,1,94,2023-05-29,1.17,61,295,50,0.1917808219178082
2725,15925463,Rental unit in Madrid · ★4.54 · 1 bedroom · 1 bed · 1 bath,291253690,Fran Y Marta,Centro,Sol,40.41942,-3.70028,Entire home/apt,103,3,61,2023-05-26,0.77,180,162,3,0.5561643835616439
2727,15925772,Place to stay in Madrid · ★4.32 · 10 bedrooms · 1 bed · 1 private bath,103336792,Funway Academic Resort,Tetuán,Castillejos,40.45968,-3.69756,Private room,91,1,22,2022-06-23,0.28,28,243,1,0.33424657534246577
2730,15577318,Rental unit in Madrid · ★4.69 · 1 bedroom · 2 beds · 1 bath,99018982,Juan Y Bea,Centro,Universidad,40.42426,-3.70909,Entire home/apt,260,1,13,2022-09-22,0.16,61,9,1,0.9753424657534246
2732,15577787,Rental unit in Madrid · ★4.74 · 1 bedroom · 2 beds · 1 bath,15194266,Diego,Centro,Universidad,40.4215,-3.70241,Entire home/apt,94,2,185,2023-06-04,2.3,2,123,64,0.663013698630137
2733,15933969,Rental unit in Madrid · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,52332915,Sarah,Salamanca,Goya,40.4277,-3.67804,Private room,30,2,130,2023-03-18,1.63,1,0,14,1.0
2734,15607646,Serviced apartment in Madrid · 1 bedroom · 2 beds · 1 bath,96795800,Madrid Rental Flats,Chamberí,Almagro,40.43383,-3.69146,Entire home/apt,99,7,1,2022-10-31,0.13,25,13,1,0.9643835616438357
2735,15960496,Rental unit in Madrid · ★4.88 · 1 bedroom · 2 beds · 2 baths,51636039,CriteriaHome!,Villaverde,San Andrés,40.33377,-3.70335,Entire home/apt,72,3,17,2023-06-07,0.22,17,10,8,0.9726027397260274
2736,15609190,Rental unit in Madrid · ★4.90 · 1 bedroom · 2 beds · 1.5 shared baths,100634083,Marina,Salamanca,Castellana,40.4348,-3.68346,Private room,37,1,452,2023-04-29,5.69,2,38,95,0.8958904109589041
