id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,bathrooms,accommodates,bedrooms,host_is_superhost,beds,availability_30,monthly_occupancy,month,day,district_key,neighborhood_key,neighbourhood_group,median_price,how_expensive,predict
31180712,40.42355,-3.70436,110,3,105,1.99,47,1.0,4,2.0,1.0,3.0,2,0.9333333333333333,5,23,1,1,Centro,106.0,15.0,118.20760278354308
31009280,40.41074,-3.64861,90,4,24,0.51,104,2.0,5,2.0,0.0,4.0,13,0.5666666666666667,6,3,16,33,Moratalaz,35.0,1.0,113.1737045653664
31010888,40.40333,-3.70589,100,3,27,0.5,69,2.0,6,2.0,0.0,4.0,4,0.8666666666666667,5,24,8,44,Arganzuela,81.0,12.0,123.32146774510036
31183321,40.41874,-3.70011,119,1,73,1.36,88,1.0,4,,0.0,2.0,28,0.06666666666666667,5,1,1,2,Centro,106.0,15.0,128.8584574117372
31204222,40.42757,-3.71347,110,2,86,1.62,21,1.0,4,1.0,0.0,2.0,7,0.7666666666666667,5,18,1,1,Centro,106.0,15.0,108.4764896939093
31026428,40.4191,-3.70359,63,2,226,4.23,88,1.0,2,,0.0,1.0,4,0.8666666666666667,6,5,1,2,Centro,106.0,15.0,74.17002213067349
31426937,40.42165,-3.707,115,3,188,3.52,139,1.0,3,1.0,0.0,2.0,18,0.4,5,4,1,1,Centro,106.0,15.0,121.67432649058247
31214955,40.406,-3.69442,43,2,105,1.96,0,1.0,1,,,1.0,0,1.0,6,6,8,16,Arganzuela,81.0,12.0,36.98705825486892
31426939,40.42165,-3.707,99,3,171,3.19,112,1.0,3,1.0,0.0,2.0,6,0.8,5,11,1,1,Centro,106.0,15.0,102.82431643356486
31426964,40.42165,-3.707,105,3,195,3.63,155,1.0,3,1.0,0.0,2.0,18,0.4,6,4,1,1,Centro,106.0,15.0,118.39373634145576
31426965,40.42165,-3.707,110,3,185,3.45,138,1.0,3,1.0,0.0,2.0,16,0.4666666666666667,6,1,1,1,Centro,106.0,15.0,116.44180117899062
31431634,40.42165,-3.707,101,3,208,3.9,127,1.0,3,,0.0,2.0,17,0.43333333333333335,6,5,1,1,Centro,106.0,15.0,100.99490241105316
31431637,40.42165,-3.707,105,3,190,3.56,139,1.0,3,,0.0,2.0,15,0.5,5,19,1,1,Centro,106.0,15.0,108.61997514176775
31432644,40.42014,-3.70383,49,2,64,1.2,0,1.0,2,,,1.0,0,1.0,5,26,1,2,Centro,106.0,15.0,54.06288221592639
31229045,40.466,-3.69556,94,3,112,2.22,246,1.0,6,2.0,1.0,3.0,6,0.8,6,6,10,21,Tetuán,79.0,11.0,119.37673326075095
31442722,40.414249420166016,-3.706850051879883,194,28,78,1.47,36,2.0,6,2.0,1.0,4.0,2,0.9333333333333333,9,6,1,2,Centro,106.0,15.0,157.152460054961
31454392,40.42165,-3.707,100,3,173,3.23,111,1.0,3,,0.0,2.0,5,0.8333333333333334,6,5,1,1,Centro,106.0,15.0,89.68318110085467
31455674,40.43167,-3.71355,138,3,92,1.73,172,2.0,2,1.0,1.0,1.0,28,0.06666666666666667,5,28,4,43,Chamberí,88.0,13.0,141.7602341110067
31235417,40.39263,-3.69617,151,3,111,2.11,231,1.0,7,3.0,0.0,5.0,6,0.8,5,24,8,15,Arganzuela,81.0,12.0,142.33897879612886
31238365,40.43662,-3.64523,19,7,14,0.29,287,1.0,1,,,1.0,6,0.8,5,31,5,64,Ciudad Lineal,54.0,6.0,27.249605341788698
31461291,40.46845,-3.66839,120,3,11,0.21,108,2.0,4,2.0,0.0,3.0,4,0.8666666666666667,5,11,5,76,Ciudad Lineal,54.0,6.0,124.27699193360708
31246788,40.43836,-3.64363,32,90,16,0.33,253,1.0,1,,,1.0,2,0.9333333333333333,2,11,5,64,Ciudad Lineal,54.0,6.0,24.02600922027992
31247065,40.42129,-3.7045,96,14,7,0.14,62,1.0,2,1.0,0.0,2.0,9,0.7,8,30,1,1,Centro,106.0,15.0,88.09457425386785
31465584,40.43212,-3.73656,37,42,8,0.15,104,1.0,1,,,1.0,0,1.0,3,1,2,63,Moncloa - Aravaca,74.0,10.0,31.421927673902
31477870,40.42873,-3.70949,91,1,13,0.25,165,1.0,4,2.0,0.0,3.0,14,0.5333333333333333,4,11,1,1,Centro,106.0,15.0,161.20623499721455
31248415,40.43713,-3.65328,26,2,73,1.36,36,1.0,1,,,1.0,13,0.5666666666666667,5,28,5,9,Ciudad Lineal,54.0,6.0,29.64650655189978
31479573,40.44504,-3.5959,40,1,77,1.45,7,1.0,1,,,1.0,0,1.0,9,19,15,30,San Blas - Canillejas,60.0,8.0,42.25833853624584
31479922,40.41879,-3.69758,140,3,102,1.94,159,1.0,2,1.0,0.0,1.0,12,0.6,5,27,1,19,Centro,106.0,15.0,112.49902541737296
31482685,40.36427688598633,-3.760272026062012,31,2,73,1.4,85,1.0,1,,,1.0,25,0.16666666666666666,6,4,18,86,Carabanchel,55.0,7.0,33.58841925222615
31254199,40.425163,-3.691744,130,4,20,0.4,279,1.0,4,1.0,0.0,2.0,11,0.6333333333333333,1,8,1,5,Centro,106.0,15.0,144.26479317754797
31254291,40.43352,-3.68094,206,4,37,0.7,278,3.0,8,3.0,0.0,4.0,6,0.8,5,13,3,53,Salamanca,120.0,16.0,214.142041114874
31254294,40.43758,-3.68479,200,4,26,0.59,284,2.0,6,2.0,0.0,3.0,3,0.9,5,14,3,53,Salamanca,120.0,16.0,178.71517322276617
31482838,40.41485,-3.7056,146,2,217,4.09,142,2.0,6,2.0,1.0,2.0,1,0.9666666666666667,5,22,1,2,Centro,106.0,15.0,158.56374352117868
31254300,40.425163,-3.691744,130,4,18,0.36,243,1.0,4,1.0,0.0,2.0,7,0.7666666666666667,9,11,1,5,Centro,106.0,15.0,116.5380249035408
31484882,40.39695,-3.71623,119,3,42,0.79,54,1.0,6,3.0,0.0,4.0,9,0.7,5,1,18,42,Carabanchel,55.0,7.0,107.68369907489998
31274212,40.41471,-3.70323,158,4,73,1.39,238,1.0,2,1.0,1.0,1.0,4,0.8666666666666667,6,7,1,2,Centro,106.0,15.0,93.16558858666856
31275538,40.42374,-3.70593,156,3,228,4.25,144,1.0,4,2.0,0.0,4.0,29,0.03333333333333333,6,5,1,1,Centro,106.0,15.0,154.32062137256125
31505010,40.35501,-3.6833,20,1,155,2.9,21,1.0,1,,,1.0,2,0.9333333333333333,6,3,11,119,Villaverde,45.0,2.0,22.86433413452261
31535174,40.41588,-3.70088,116,4,278,5.2,92,1.0,2,1.0,1.0,1.0,1,0.9666666666666667,5,29,1,19,Centro,106.0,15.0,94.94789260375424
31278140,40.42165,-3.707,105,3,187,3.49,125,1.0,3,,0.0,2.0,16,0.4666666666666667,6,4,1,1,Centro,106.0,15.0,102.26494035169492
31538902,40.46709,-3.69918,26,1,74,1.63,17,1.0,1,,1.0,2.0,8,0.7333333333333333,6,5,10,83,Tetuán,79.0,11.0,27.08001064907732
31278393,40.41585,-3.7048,132,1,103,1.94,163,2.0,6,2.0,0.0,4.0,3,0.9,5,28,1,2,Centro,106.0,15.0,175.7186078534318
31546953,40.41396,-3.70073,84,4,267,4.99,82,1.0,2,1.0,1.0,1.0,2,0.9333333333333333,5,24,1,19,Centro,106.0,15.0,91.53359588421527
31279955,40.407809260149456,-3.745561885210011,76,2,75,1.41,75,1.0,4,1.0,0.0,1.0,22,0.26666666666666666,5,21,19,65,Latina,45.0,2.0,80.6131460801944
31556083,40.43318,-3.70205,240,21,17,0.32,197,2.0,6,3.0,0.0,3.0,0,1.0,5,26,4,8,Chamberí,88.0,13.0,188.19666807184572
31558430,40.42122,-3.70431,165,2,116,2.18,118,1.0,2,1.0,0.0,1.0,6,0.8,6,6,1,1,Centro,106.0,15.0,96.58372651520044
31558633,40.41781,-3.71158,115,1,89,3.77,110,1.0,4,1.0,,1.0,5,0.8333333333333334,6,5,1,4,Centro,106.0,15.0,109.77351965809
31299764,40.42165,-3.707,130,3,219,4.08,113,1.0,4,2.0,0.0,3.0,8,0.7333333333333333,6,4,1,1,Centro,106.0,15.0,137.48734740922703
31299765,40.42165,-3.707,111,3,170,3.16,159,1.0,3,,0.0,2.0,18,0.4,5,29,1,1,Centro,106.0,15.0,108.57904672149844
31299766,40.42165,-3.707,110,3,176,3.28,156,1.0,3,,0.0,2.0,12,0.6,5,25,1,1,Centro,106.0,15.0,104.04262665409804
31299769,40.42165,-3.707,98,3,184,3.44,159,1.0,3,,0.0,2.0,18,0.4,5,26,1,1,Centro,106.0,15.0,108.57904672149844
31560695,40.42224,-3.70593,120,2,133,2.52,106,1.0,4,1.0,1.0,2.0,4,0.8666666666666667,5,27,1,1,Centro,106.0,15.0,109.3421161772332
31323434,40.43733,-3.6437,29,90,21,0.42,212,1.0,1,,,1.0,1,0.9666666666666667,5,31,5,64,Ciudad Lineal,54.0,6.0,22.121368962990992
31328568,40.4541,-3.70596,59,3,90,1.68,283,1.0,2,1.0,1.0,1.0,0,1.0,5,28,10,81,Tetuán,79.0,11.0,80.52181130155894
31566488,40.40119,-3.69451,93,2,186,3.48,176,1.0,2,,0.0,1.0,26,0.13333333333333333,5,26,8,16,Arganzuela,81.0,12.0,95.67205298274824
